cultivar,exp,dai,isolate,species,genotype,spike,spikelets,above,central,below,total,sev
BRS 194,2,4,09tr109,F. meridionale,NIV,5,17,0,1,0,1,5.88
BRS 194,2,4,09tr109,F. meridionale,NIV,6,16,0,1,0,1,6.25
BRS 194,2,4,09tr109,F. meridionale,NIV,7,14,0,1,1,2,14.29
BRS 194,2,7,09tr109,F. meridionale,NIV,1,16,3,1,0,4,25
BRS 194,2,7,09tr109,F. meridionale,NIV,2,19,2,1,0,3,15.79
BRS 194,2,7,09tr109,F. meridionale,NIV,3,14,0,1,0,1,7.14
BRS 194,2,7,09tr109,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS 194,2,7,09tr109,F. meridionale,NIV,5,17,1,1,0,2,11.76
BRS 194,2,7,09tr109,F. meridionale,NIV,6,16,1,1,0,2,12.5
BRS 194,2,7,09tr109,F. meridionale,NIV,7,14,1,1,1,3,21.43
BRS 194,2,11,09tr109,F. meridionale,NIV,1,16,2,1,1,4,25
BRS 194,2,11,09tr109,F. meridionale,NIV,2,19,2,1,0,3,15.79
BRS 194,2,11,09tr109,F. meridionale,NIV,3,14,0,1,0,1,7.14
BRS 194,2,11,09tr109,F. meridionale,NIV,4,18,1,1,0,2,11.11
BRS 194,2,11,09tr109,F. meridionale,NIV,5,17,1,1,0,2,11.76
BRS 194,2,11,09tr109,F. meridionale,NIV,6,16,1,1,0,2,12.5
BRS 194,2,11,09tr109,F. meridionale,NIV,7,14,2,1,1,4,28.57
BRS 194,2,20,09tr109,F. meridionale,NIV,1,16,2,1,1,4,25
BRS 194,2,20,09tr109,F. meridionale,NIV,2,19,2,1,0,3,15.79
BRS 194,2,20,09tr109,F. meridionale,NIV,3,14,4,1,0,5,35.71
BRS 194,2,20,09tr109,F. meridionale,NIV,4,18,1,1,0,2,11.11
BRS 194,2,20,09tr109,F. meridionale,NIV,5,17,1,1,0,2,11.76
BRS 194,2,20,09tr109,F. meridionale,NIV,6,16,1,1,0,2,12.5
BRS 194,2,20,09tr109,F. meridionale,NIV,7,14,2,1,1,4,28.57
BRS Guamirim,1,4,09tr109,F. meridionale,NIV,1,17,0,1,0,1,5.882
BRS Guamirim,1,4,09tr109,F. meridionale,NIV,2,17,0,1,0,1,5.882
BRS Guamirim,1,4,09tr109,F. meridionale,NIV,3,18,0,1,0,1,5.556
BRS Guamirim,1,4,09tr109,F. meridionale,NIV,4,15,0,1,0,1,6.667
BRS Guamirim,1,4,09tr109,F. meridionale,NIV,5,16,0,1,0,1,6.25
BRS Guamirim,1,7,09tr109,F. meridionale,NIV,1,17,0,1,0,1,5.882
BRS Guamirim,1,7,09tr109,F. meridionale,NIV,2,17,0,1,0,1,5.882
BRS Guamirim,1,7,09tr109,F. meridionale,NIV,3,18,1,1,0,2,11.111
BRS Guamirim,1,7,09tr109,F. meridionale,NIV,4,15,0,1,0,1,6.667
BRS Guamirim,1,7,09tr109,F. meridionale,NIV,5,16,0,1,0,1,6.25
BRS Guamirim,1,11,09tr109,F. meridionale,NIV,1,17,0,1,0,1,5.882
BRS Guamirim,1,11,09tr109,F. meridionale,NIV,2,17,0,1,0,1,5.882
BRS Guamirim,1,11,09tr109,F. meridionale,NIV,3,18,1,1,0,2,11.111
BRS Guamirim,1,11,09tr109,F. meridionale,NIV,4,15,0,1,0,1,6.667
BRS Guamirim,1,11,09tr109,F. meridionale,NIV,5,16,1,1,0,2,12.5
BRS Guamirim,1,17,09tr109,F. meridionale,NIV,1,17,0,1,0,1,5.882
BRS Guamirim,1,17,09tr109,F. meridionale,NIV,2,17,0,1,0,1,5.882
BRS Guamirim,1,17,09tr109,F. meridionale,NIV,3,18,1,1,0,2,11.111
BRS Guamirim,1,17,09tr109,F. meridionale,NIV,4,15,0,1,1,2,13.333
BRS Guamirim,1,17,09tr109,F. meridionale,NIV,5,16,1,1,0,2,12.5
